feature_mode,dimensions,group,cases,correct,accuracy,ranked_accuracy,abstained,input_rejected
raw_bytes,256,known,32,5,0.15625,0.15625,0,0
raw_bytes,256,null,10,1,0.1,,1,1
raw_bytes,256,semantic_no_overlap,8,0,0.0,0.0,0,0
raw_bytes,1024,known,32,5,0.15625,0.15625,0,0
raw_bytes,1024,null,10,1,0.1,,1,1
raw_bytes,1024,semantic_no_overlap,8,0,0.0,0.0,0,0
raw_bytes,4096,known,32,5,0.15625,0.15625,0,0
raw_bytes,4096,null,10,1,0.1,,1,1
raw_bytes,4096,semantic_no_overlap,8,0,0.0,0.0,0,0
raw_bytes,16384,known,32,5,0.15625,0.15625,0,0
raw_bytes,16384,null,10,1,0.1,,1,1
raw_bytes,16384,semantic_no_overlap,8,0,0.0,0.0,0,0
words,256,known,32,31,0.96875,0.9375,0,0
words,256,null,10,6,0.6,,6,1
words,256,semantic_no_overlap,8,0,0.0,0.0,8,0
words,1024,known,32,31,0.96875,0.96875,0,0
words,1024,null,10,6,0.6,,6,1
words,1024,semantic_no_overlap,8,0,0.0,0.0,8,0
words,4096,known,32,31,0.96875,0.96875,0,0
words,4096,null,10,6,0.6,,6,1
words,4096,semantic_no_overlap,8,0,0.0,0.0,8,0
words,16384,known,32,31,0.96875,0.96875,0,0
words,16384,null,10,6,0.6,,6,1
words,16384,semantic_no_overlap,8,0,0.0,0.0,8,0
hybrid,256,known,32,31,0.96875,0.96875,0,0
hybrid,256,null,10,6,0.6,,6,1
hybrid,256,semantic_no_overlap,8,0,0.0,0.0,8,0
hybrid,1024,known,32,31,0.96875,0.96875,0,0
hybrid,1024,null,10,6,0.6,,6,1
hybrid,1024,semantic_no_overlap,8,0,0.0,0.0,8,0
hybrid,4096,known,32,31,0.96875,0.96875,0,0
hybrid,4096,null,10,6,0.6,,6,1
hybrid,4096,semantic_no_overlap,8,0,0.0,0.125,8,0
hybrid,16384,known,32,31,0.96875,0.96875,0,0
hybrid,16384,null,10,6,0.6,,6,1
hybrid,16384,semantic_no_overlap,8,0,0.0,0.125,8,0
