append_number,document_count,whole_rebuild_ms,incremental_append_ms,query_ms,snapshot_ms,old_payload_identity_unchanged,old_spectra_unchanged,immediate_self_retrieval,all_key_modes,all_payload_modes,payload_modes,snapshot_modes
1,1,0.4773,0.5531,0.4544,0.3812,True,True,True,True,True,54,153
2,2,0.917,0.6104,0.5102,0.4558,True,True,True,True,True,138,350
3,3,1.1896,0.6915,0.5568,0.5174,True,True,True,True,True,224,546
4,4,1.4448,0.6252,0.4706,0.5465,True,True,True,True,True,288,716
5,5,1.6951,0.5907,0.4514,0.6175,True,True,True,True,True,368,909
6,6,1.9346,0.6452,0.4594,0.8092,True,True,True,True,True,445,1094
7,7,2.2074,0.6375,0.3914,0.8206,True,True,True,True,True,504,1240
8,8,2.6747,1.1278,0.4747,0.812,True,True,True,True,True,570,1410
9,9,2.7612,0.921,0.5427,0.9274,True,True,True,True,True,632,1580
10,10,3.0315,1.0044,0.5534,1.0825,True,True,True,True,True,700,1751
11,11,3.6371,1.1092,0.5756,1.145,True,True,True,True,True,778,1927
12,12,3.8566,1.2574,0.5747,1.2066,True,True,True,True,True,864,2111
13,13,4.4207,1.6693,0.6926,1.2915,True,True,True,True,True,951,2307
14,14,4.9086,1.6012,0.6101,1.412,True,True,True,True,True,1032,2485
15,15,5.3576,1.7767,0.7375,1.4785,True,True,True,True,True,1139,2702
16,16,5.4012,1.7017,0.6713,1.5598,True,True,True,True,True,1212,2881
17,17,5.7395,1.4563,0.6162,1.5826,True,True,True,True,True,1331,3112
18,18,6.1708,1.6673,0.7043,1.6637,True,True,True,True,True,1430,3314
19,19,6.5713,1.6554,0.6711,1.7383,True,True,True,True,True,1520,3522
20,20,6.8663,1.9143,0.7532,1.8534,True,True,True,True,True,1629,3754
21,21,7.3112,2.0596,0.7204,1.9092,True,True,True,True,True,1713,3957
22,22,8.1477,2.0946,0.8776,1.9769,True,True,True,True,True,1828,4191
23,23,7.8722,2.2481,0.8035,2.1556,True,True,True,True,True,1927,4406
24,24,8.8516,2.2508,0.8036,2.1346,True,True,True,True,True,2021,4618
25,25,9.1219,2.2282,0.7628,2.1744,True,True,True,True,True,2121,4832
26,26,9.0106,2.496,0.798,2.2966,True,True,True,True,True,2227,5057
27,27,10.0756,2.2775,0.7548,2.5758,True,True,True,True,True,2349,5287
28,28,10.0858,2.5065,0.709,2.4243,True,True,True,True,True,2458,5510
29,29,10.8882,2.6868,0.749,2.5059,True,True,True,True,True,2538,5699
30,30,11.514,2.8567,0.8567,2.5504,True,True,True,True,True,2617,5890
31,31,11.0738,2.5938,0.7604,2.766,True,True,True,True,True,2690,6080
32,32,11.5015,2.8536,0.9628,2.7565,True,True,True,True,True,2773,6290
33,33,11.8191,3.1343,1.1011,2.7888,True,True,True,True,True,2838,6489
34,34,12.9036,2.9018,0.8344,3.1435,True,True,True,True,True,2954,6721
35,35,13.4484,3.0529,0.8921,3.1785,True,True,True,True,True,3029,6923
36,36,13.6902,3.0582,0.9373,3.0848,True,True,True,True,True,3119,7133
37,37,13.2982,3.2127,0.8822,3.0877,True,True,True,True,True,3217,7342
38,38,14.3383,3.2088,0.9997,3.189,True,True,True,True,True,3300,7557
39,39,14.4514,3.3649,1.05,3.2787,True,True,True,True,True,3409,7792
40,40,14.6434,3.2609,0.9411,3.4515,True,True,True,True,True,3511,8025
41,41,15.4714,3.0475,1.0984,3.6642,True,True,True,True,True,3597,8223
42,42,15.6193,3.1945,1.0388,3.4994,True,True,True,True,True,3642,8377
43,43,15.6503,3.1455,1.0189,3.6952,True,True,True,True,True,3688,8536
44,44,17.3571,3.3602,1.0642,3.9479,True,True,True,True,True,3765,8721
45,45,17.4739,3.4239,1.1831,4.1061,True,True,True,True,True,3840,8910
46,46,17.8535,3.3617,1.0086,4.167,True,True,True,True,True,3933,9106
47,47,17.6336,3.7188,1.1416,3.9074,True,True,True,True,True,4020,9303
48,48,17.5508,3.6919,1.1745,4.0674,True,True,True,True,True,4117,9516
49,49,19.1461,3.7449,1.3045,4.5424,True,True,True,True,True,4211,9725
50,50,18.814,3.8134,1.1038,4.1857,True,True,True,True,True,4288,9907
51,51,19.7067,3.8794,1.1362,4.1925,True,True,True,True,True,4368,10102
52,52,20.1901,3.8393,1.1543,4.6848,True,True,True,True,True,4481,10328
53,53,19.7375,4.0149,1.3558,4.3345,True,True,True,True,True,4569,10550
54,54,21.0577,4.1409,1.1615,4.911,True,True,True,True,True,4658,10766
55,55,20.4928,4.061,1.1983,4.6443,True,True,True,True,True,4747,10978
56,56,20.6138,3.914,1.1054,4.626,True,True,True,True,True,4827,11173
57,57,21.034,4.2799,1.1844,4.7457,True,True,True,True,True,4919,11391
58,58,21.8598,4.1806,1.1242,4.8136,True,True,True,True,True,5024,11607
59,59,21.5549,4.2817,1.3728,4.8864,True,True,True,True,True,5135,11855
60,60,22.1748,4.4686,1.1597,6.3674,True,True,True,True,True,5227,12080
61,61,25.7842,4.6679,1.2682,5.7813,True,True,True,True,True,5324,12296
62,62,24.7825,4.539,1.233,5.3241,True,True,True,True,True,5420,12510
63,63,25.7943,5.0368,1.2154,6.2142,True,True,True,True,True,5504,12709
64,64,23.9661,5.2766,1.5595,5.2298,True,True,True,True,True,5598,12937
65,65,25.9197,4.8908,1.2171,5.7989,True,True,True,True,True,5712,13165
66,66,26.6278,5.0815,1.4388,6.1293,True,True,True,True,True,5800,13372
67,67,26.4035,5.4008,1.3535,5.5004,True,True,True,True,True,5879,13581
68,68,27.5364,5.0844,1.3125,6.3741,True,True,True,True,True,5973,13808
69,69,27.144,5.1351,1.3376,7.0523,True,True,True,True,True,6046,13999
