append_number,document_count,whole_rebuild_ms,incremental_append_ms,query_ms,snapshot_ms,old_payload_identity_unchanged,old_spectra_unchanged,immediate_self_retrieval,all_key_modes,all_payload_modes,payload_modes,snapshot_modes
1,1,3.7391,0.6259,0.5877,0.4386,True,True,True,True,True,54,153
2,2,0.9472,0.6532,0.5448,0.4534,True,True,True,True,True,138,350
3,3,1.1545,0.6597,0.5491,0.5065,True,True,True,True,True,224,546
4,4,1.4588,0.6219,0.4879,0.5737,True,True,True,True,True,288,716
5,5,1.7972,0.6778,0.4877,0.6383,True,True,True,True,True,368,909
6,6,1.9443,0.7736,0.4692,0.6836,True,True,True,True,True,445,1094
7,7,2.1879,0.7651,0.4696,0.7765,True,True,True,True,True,523,1273
8,8,2.6589,0.9492,0.5308,0.9262,True,True,True,True,True,589,1443
9,9,3.1879,1.1288,0.5909,0.9762,True,True,True,True,True,651,1613
10,10,3.3033,1.0532,0.519,1.0919,True,True,True,True,True,719,1784
11,11,3.7815,1.1742,0.6259,1.2911,True,True,True,True,True,797,1960
12,12,4.0949,1.2834,0.5521,1.1644,True,True,True,True,True,883,2144
13,13,4.3914,1.5713,0.8654,1.366,True,True,True,True,True,970,2340
14,14,4.8963,1.4121,0.5611,1.3583,True,True,True,True,True,1051,2518
15,15,5.4174,1.8145,0.7341,1.4687,True,True,True,True,True,1158,2735
16,16,5.7092,1.7749,0.6338,1.718,True,True,True,True,True,1231,2914
17,17,6.0971,1.64,0.6405,1.6202,True,True,True,True,True,1350,3145
18,18,6.0646,1.7267,0.7604,1.755,True,True,True,True,True,1449,3347
19,19,6.4694,1.7437,0.7476,1.7976,True,True,True,True,True,1539,3555
20,20,7.0125,1.7116,0.7928,1.8682,True,True,True,True,True,1648,3787
21,21,7.5086,1.8303,0.768,1.9023,True,True,True,True,True,1732,3990
22,22,8.0598,1.916,0.9438,2.3356,True,True,True,True,True,1847,4224
23,23,8.4603,2.0093,0.6915,2.0638,True,True,True,True,True,1946,4439
24,24,8.8717,2.0784,0.7326,2.1296,True,True,True,True,True,2040,4651
25,25,8.8144,1.9458,0.7462,2.1707,True,True,True,True,True,2140,4865
26,26,9.0846,2.1276,0.8795,2.2848,True,True,True,True,True,2246,5090
27,27,9.4489,2.3395,0.766,2.3938,True,True,True,True,True,2368,5320
28,28,10.1986,2.4675,0.8519,2.5017,True,True,True,True,True,2477,5543
29,29,10.4613,2.2336,0.8561,2.819,True,True,True,True,True,2557,5732
30,30,10.9906,2.8919,0.8878,2.7944,True,True,True,True,True,2636,5923
31,31,11.5472,2.4248,0.7782,2.8827,True,True,True,True,True,2709,6113
32,32,11.8027,2.5305,0.8984,2.9245,True,True,True,True,True,2792,6323
33,33,12.4069,2.6324,0.9552,2.8841,True,True,True,True,True,2857,6522
34,34,12.9482,2.6508,0.9539,3.0051,True,True,True,True,True,2973,6754
35,35,13.6994,3.0899,1.0103,3.1347,True,True,True,True,True,3048,6956
36,36,14.1913,2.7628,0.9755,3.4936,True,True,True,True,True,3138,7166
37,37,13.6909,2.7489,0.9607,3.3357,True,True,True,True,True,3236,7375
38,38,14.8834,3.1484,1.1379,3.6889,True,True,True,True,True,3319,7590
39,39,14.7086,3.1109,0.9403,3.3992,True,True,True,True,True,3428,7825
40,40,15.9294,3.445,1.0207,3.7499,True,True,True,True,True,3530,8058
41,41,15.1612,3.0998,1.023,3.5961,True,True,True,True,True,3616,8256
42,42,16.6742,3.3315,1.019,3.8147,True,True,True,True,True,3661,8410
43,43,17.1564,3.1712,1.0918,3.9007,True,True,True,True,True,3707,8569
44,44,17.3015,3.3488,0.9688,3.9222,True,True,True,True,True,3784,8754
45,45,17.3796,3.8937,1.1043,3.9368,True,True,True,True,True,3859,8943
46,46,17.1444,3.5876,0.9448,3.9524,True,True,True,True,True,3952,9139
47,47,18.5855,3.641,1.0505,4.2527,True,True,True,True,True,4039,9336
48,48,18.7309,3.824,1.1215,4.3966,True,True,True,True,True,4136,9549
49,49,18.6205,4.2331,1.2885,4.1396,True,True,True,True,True,4230,9758
50,50,19.1536,3.9106,1.1076,4.2515,True,True,True,True,True,4307,9940
51,51,20.0076,3.9315,1.1367,4.6634,True,True,True,True,True,4387,10135
52,52,19.7335,4.1902,1.2265,4.4265,True,True,True,True,True,4500,10361
53,53,21.7379,4.1653,1.392,4.6836,True,True,True,True,True,4588,10583
54,54,20.6754,3.9417,1.1553,4.51,True,True,True,True,True,4677,10799
55,55,21.8253,3.9378,1.1172,4.9485,True,True,True,True,True,4766,11011
56,56,22.6005,3.9435,1.1384,5.1429,True,True,True,True,True,4846,11206
57,57,21.4777,4.0708,1.2411,4.7074,True,True,True,True,True,4938,11424
58,58,22.6411,4.2205,1.1605,5.0087,True,True,True,True,True,5043,11640
59,59,23.6237,4.3831,1.2852,5.4022,True,True,True,True,True,5154,11888
60,60,23.3978,4.0433,1.1739,5.5168,True,True,True,True,True,5246,12113
61,61,23.9512,4.3365,1.3648,5.3243,True,True,True,True,True,5343,12329
62,62,25.4217,4.7072,1.2389,5.4991,True,True,True,True,True,5439,12543
63,63,25.0808,4.4807,1.2177,5.4678,True,True,True,True,True,5523,12742
64,64,26.064,4.7201,1.3205,5.615,True,True,True,True,True,5617,12970
65,65,26.2961,4.9659,1.2371,5.7461,True,True,True,True,True,5731,13198
66,66,27.2849,4.9472,1.3131,5.9517,True,True,True,True,True,5819,13405
67,67,25.6458,5.2998,1.5293,5.5659,True,True,True,True,True,5898,13614
68,68,27.6068,4.8437,1.3084,5.9144,True,True,True,True,True,5992,13841
69,69,26.3435,5.4925,1.3889,5.7037,True,True,True,True,True,6065,14032
70,70,28.4551,5.42,1.447,6.0323,True,True,True,True,True,6163,14260
71,71,29.0453,5.8458,1.273,6.1347,True,True,True,True,True,6245,14463
72,72,27.7749,5.1467,1.3106,5.987,True,True,True,True,True,6323,14657
73,73,29.122,5.7117,1.3849,6.1336,True,True,True,True,True,6415,14862
74,74,30.3353,5.8698,1.5117,6.3486,True,True,True,True,True,6502,15076
75,75,30.1415,5.718,1.4992,6.6026,True,True,True,True,True,6589,15285
76,76,29.7522,5.651,1.3791,6.2505,True,True,True,True,True,6647,15460
77,77,28.4732,6.1147,1.3358,6.7387,True,True,True,True,True,6724,15652
78,78,31.4442,5.8304,1.4259,6.7314,True,True,True,True,True,6839,15892
79,79,29.3009,5.2961,1.4591,6.4292,True,True,True,True,True,6893,16080
80,80,30.0204,5.2466,1.4233,6.4391,True,True,True,True,True,6985,16306
81,81,31.9375,5.5861,1.3146,6.8488,True,True,True,True,True,7049,16486
82,82,31.047,5.2377,1.4302,6.6018,True,True,True,True,True,7097,16643
83,83,30.9598,5.2291,1.2869,6.7897,True,True,True,True,True,7179,16837
84,84,32.8805,5.6694,1.5201,7.4095,True,True,True,True,True,7244,17032
85,85,34.1403,5.9814,1.4802,7.3224,True,True,True,True,True,7306,17217
86,86,32.5432,5.7318,1.4613,6.9884,True,True,True,True,True,7368,17402
87,87,32.779,6.0304,1.4459,7.1009,True,True,True,True,True,7421,17577
88,88,35.0301,6.0463,1.3902,7.4606,True,True,True,True,True,7473,17738
89,89,35.0638,6.2298,1.5484,7.5123,True,True,True,True,True,7537,17918
90,90,33.7451,6.7477,1.7003,7.1806,True,True,True,True,True,7595,18105
91,91,36.2316,7.6317,1.6318,7.5337,True,True,True,True,True,7672,18299
92,92,36.8352,6.4957,1.6687,8.01,True,True,True,True,True,7775,18546
93,93,37.241,6.4416,1.6873,8.0783,True,True,True,True,True,7889,18782
94,94,35.4268,6.4908,1.5052,7.5693,True,True,True,True,True,8031,19037
95,95,35.778,6.7208,1.4376,7.7633,True,True,True,True,True,8112,19245
96,96,38.2288,6.3565,1.4611,8.2325,True,True,True,True,True,8221,19476
97,97,36.704,6.7125,1.6758,7.9691,True,True,True,True,True,8319,19707
98,98,36.6578,6.5383,1.6926,7.9383,True,True,True,True,True,8420,19946
99,99,37.4473,6.932,1.6411,8.2916,True,True,True,True,True,8503,20165
100,100,37.7027,7.5909,1.6181,8.1317,True,True,True,True,True,8621,20412
101,101,41.1639,7.1696,1.7991,8.4624,True,True,True,True,True,8667,20593
102,102,37.475,7.4931,1.5634,8.5516,True,True,True,True,True,8720,20773
103,103,39.4199,7.2077,1.7051,8.4086,True,True,True,True,True,8799,20979
104,104,42.3812,7.7183,1.5565,8.9389,True,True,True,True,True,8865,21154
105,105,42.2045,7.949,1.7324,9.0273,True,True,True,True,True,8944,21374
106,106,41.0216,8.3526,1.7733,8.7035,True,True,True,True,True,9024,21586
107,107,43.517,8.5864,1.5627,9.1785,True,True,True,True,True,9076,21760
108,108,43.1866,8.6909,1.7604,9.4031,True,True,True,True,True,9130,21946
109,109,41.9739,7.1297,1.8413,8.8987,True,True,True,True,True,9205,22173
110,110,43.4189,7.0527,1.8646,9.198,True,True,True,True,True,9308,22404
