iteration,split,group,total,correct,abstained,wrong_answers,query_median_ms
01_legacy_development,development,known_lexical,48,48,0,0,8.9305
01_legacy_development,development,unknown_same_topic,12,0,0,12,8.88055
02_coverage_development,development,known_lexical,48,47,1,0,1.26095
02_coverage_development,development,unknown_same_topic,12,12,12,0,1.2718
03_frozen_coverage,holdout,known_lexical,72,71,1,0,1.4182000000000001
03_frozen_coverage,holdout,unknown_same_topic,12,12,12,0,1.43315
03_frozen_coverage,stress,semantic_no_overlap,14,0,14,0,1.24905
03_frozen_coverage,stress,unknown,6,6,6,0,1.2368999999999999
03_frozen_legacy_comparison,holdout,known_lexical,72,72,0,0,8.6175
03_frozen_legacy_comparison,holdout,unknown_same_topic,12,0,0,12,9.004950000000001
03_frozen_legacy_comparison,stress,semantic_no_overlap,14,0,10,4,7.9852
03_frozen_legacy_comparison,stress,unknown,6,4,4,2,8.3738
03_separate_facts_regression_coverage,legacy_regression,legacy_known,32,26,6,0,0.71335
03_separate_facts_regression_coverage,legacy_regression,legacy_null,9,9,9,0,0.6177
03_separate_facts_regression_coverage,legacy_regression,legacy_semantic_no_overlap,8,0,8,0,0.6081
03_separate_facts_regression_legacy,legacy_regression,legacy_known,32,31,0,1,3.1189
03_separate_facts_regression_legacy,legacy_regression,legacy_null,9,5,5,4,3.2372
03_separate_facts_regression_legacy,legacy_regression,legacy_semantic_no_overlap,8,0,8,0,3.0246500000000003
