dimensions,stored_items,seed,queries,correct,accuracy,mean_target_cosine,mean_noise_energy,predicted_noise_energy,predicted_target_cosine_approx,cleanup_dictionary_required
256,8,0,8,8,1.0,0.36589574064646235,7.426225265114718,7,0.35355339059327373,True
256,8,1,8,8,1.0,0.35361511154434255,7.002095061400858,7,0.35355339059327373,True
256,8,2,8,8,1.0,0.3504340658465943,6.894593656277208,7,0.35355339059327373,True
256,32,0,16,13,0.8125,0.18285757603636993,31.80769132959287,31,0.17677669529663687,True
256,32,1,16,10,0.625,0.16155665626463095,26.745454866205648,31,0.17677669529663687,True
256,32,2,16,13,0.8125,0.16654634383277173,31.283456729949776,31,0.17677669529663687,True
256,128,0,16,3,0.1875,0.09203419037148525,109.34885657354948,127,0.08838834764831843,True
256,128,1,16,1,0.0625,0.07829713881716542,134.1763398485793,127,0.08838834764831843,True
256,128,2,16,1,0.0625,0.08217686285530973,125.49661447959488,127,0.08838834764831843,True
256,512,0,16,1,0.0625,0.075962499439204,496.3294844516721,511,0.044194173824159216,True
256,512,1,16,0,0.0,0.04754799451164475,439.1819191232579,511,0.044194173824159216,True
256,512,2,16,0,0.0,0.042842997187051826,551.4823624517953,511,0.044194173824159216,True
1024,8,0,8,8,1.0,0.34739451106381103,6.792781423228687,7,0.35355339059327373,True
1024,8,1,8,8,1.0,0.3511987032227921,6.920345398977798,7,0.35355339059327373,True
1024,8,2,8,8,1.0,0.35948186786473457,7.20290623952889,7,0.35355339059327373,True
1024,32,0,16,16,1.0,0.17263676326790944,30.57591092943284,31,0.17677669529663687,True
1024,32,1,16,16,1.0,0.19156320532499643,32.20882689951634,31,0.17677669529663687,True
1024,32,2,16,16,1.0,0.16612723812982988,29.932467413643906,31,0.17677669529663687,True
1024,128,0,16,7,0.4375,0.07218228059725378,125.27386960976816,127,0.08838834764831843,True
1024,128,1,16,8,0.5,0.08599162147742814,127.37125828898048,127,0.08838834764831843,True
1024,128,2,16,10,0.625,0.08901740708663852,125.9939816803467,127,0.08838834764831843,True
1024,512,0,16,2,0.125,0.056073175508571375,524.4953868161522,511,0.044194173824159216,True
1024,512,1,16,4,0.25,0.05315853621609791,504.9977414805145,511,0.044194173824159216,True
1024,512,2,16,0,0.0,0.04215114480536411,533.064925145589,511,0.044194173824159216,True
4096,8,0,8,8,1.0,0.35453331289801193,7.033305757813102,7,0.35355339059327373,True
4096,8,1,8,8,1.0,0.35009417732195336,6.883164783747295,7,0.35355339059327373,True
4096,8,2,8,8,1.0,0.3541252638561065,7.019425720055539,7,0.35355339059327373,True
4096,32,0,16,16,1.0,0.1787629681187632,31.53523455740939,31,0.17677669529663687,True
4096,32,1,16,16,1.0,0.17909046215659813,31.97880711563991,31,0.17677669529663687,True
4096,32,2,16,16,1.0,0.16770362620336965,29.675298718293973,31,0.17677669529663687,True
4096,128,0,16,16,1.0,0.0912065657923477,124.919489015712,127,0.08838834764831843,True
4096,128,1,16,16,1.0,0.0861167508690176,131.11695499532897,127,0.08838834764831843,True
4096,128,2,16,16,1.0,0.08718298206903277,128.65253453556267,127,0.08838834764831843,True
4096,512,0,16,6,0.375,0.04353152838921108,491.386027110667,511,0.044194173824159216,True
4096,512,1,16,5,0.3125,0.04099825103298327,514.7166393963826,511,0.044194173824159216,True
4096,512,2,16,9,0.5625,0.05103142601766131,511.84025985134167,511,0.044194173824159216,True
