sigma_coefficients,seed,bytes,exact_text,corruption_rejected,undetected_wrong_text,ideal_gaussian_success_probability,error
0.0,0,272,True,False,False,1.0,
0.0,1,272,True,False,False,1.0,
0.0,2,272,True,False,False,1.0,
0.0,3,272,True,False,False,1.0,
0.0,4,272,True,False,False,1.0,
0.0,5,272,True,False,False,1.0,
0.0,6,272,True,False,False,1.0,
0.0,7,272,True,False,False,1.0,
0.0,8,272,True,False,False,1.0,
0.0,9,272,True,False,False,1.0,
0.0,10,272,True,False,False,1.0,
0.0,11,272,True,False,False,1.0,
0.0,12,272,True,False,False,1.0,
0.0,13,272,True,False,False,1.0,
0.0,14,272,True,False,False,1.0,
0.0,15,272,True,False,False,1.0,
0.0,16,272,True,False,False,1.0,
0.0,17,272,True,False,False,1.0,
0.0,18,272,True,False,False,1.0,
0.0,19,272,True,False,False,1.0,
0.0,20,272,True,False,False,1.0,
0.0,21,272,True,False,False,1.0,
0.0,22,272,True,False,False,1.0,
0.0,23,272,True,False,False,1.0,
0.0,24,272,True,False,False,1.0,
0.0,25,272,True,False,False,1.0,
0.0,26,272,True,False,False,1.0,
0.0,27,272,True,False,False,1.0,
0.0,28,272,True,False,False,1.0,
0.0,29,272,True,False,False,1.0,
0.0,30,272,True,False,False,1.0,
0.0,31,272,True,False,False,1.0,
1e-06,0,272,True,False,False,1.0,
1e-06,1,272,True,False,False,1.0,
1e-06,2,272,True,False,False,1.0,
1e-06,3,272,True,False,False,1.0,
1e-06,4,272,True,False,False,1.0,
1e-06,5,272,True,False,False,1.0,
1e-06,6,272,True,False,False,1.0,
1e-06,7,272,True,False,False,1.0,
1e-06,8,272,True,False,False,1.0,
1e-06,9,272,True,False,False,1.0,
1e-06,10,272,True,False,False,1.0,
1e-06,11,272,True,False,False,1.0,
1e-06,12,272,True,False,False,1.0,
1e-06,13,272,True,False,False,1.0,
1e-06,14,272,True,False,False,1.0,
1e-06,15,272,True,False,False,1.0,
1e-06,16,272,True,False,False,1.0,
1e-06,17,272,True,False,False,1.0,
1e-06,18,272,True,False,False,1.0,
1e-06,19,272,True,False,False,1.0,
1e-06,20,272,True,False,False,1.0,
1e-06,21,272,True,False,False,1.0,
1e-06,22,272,True,False,False,1.0,
1e-06,23,272,True,False,False,1.0,
1e-06,24,272,True,False,False,1.0,
1e-06,25,272,True,False,False,1.0,
1e-06,26,272,True,False,False,1.0,
1e-06,27,272,True,False,False,1.0,
1e-06,28,272,True,False,False,1.0,
1e-06,29,272,True,False,False,1.0,
1e-06,30,272,True,False,False,1.0,
1e-06,31,272,True,False,False,1.0,
0.0001,0,272,True,False,False,1.0,
0.0001,1,272,True,False,False,1.0,
0.0001,2,272,True,False,False,1.0,
0.0001,3,272,True,False,False,1.0,
0.0001,4,272,True,False,False,1.0,
0.0001,5,272,True,False,False,1.0,
0.0001,6,272,True,False,False,1.0,
0.0001,7,272,True,False,False,1.0,
0.0001,8,272,True,False,False,1.0,
0.0001,9,272,True,False,False,1.0,
0.0001,10,272,True,False,False,1.0,
0.0001,11,272,True,False,False,1.0,
0.0001,12,272,True,False,False,1.0,
0.0001,13,272,True,False,False,1.0,
0.0001,14,272,True,False,False,1.0,
0.0001,15,272,True,False,False,1.0,
0.0001,16,272,True,False,False,1.0,
0.0001,17,272,True,False,False,1.0,
0.0001,18,272,True,False,False,1.0,
0.0001,19,272,True,False,False,1.0,
0.0001,20,272,True,False,False,1.0,
0.0001,21,272,True,False,False,1.0,
0.0001,22,272,True,False,False,1.0,
0.0001,23,272,True,False,False,1.0,
0.0001,24,272,True,False,False,1.0,
0.0001,25,272,True,False,False,1.0,
0.0001,26,272,True,False,False,1.0,
0.0001,27,272,True,False,False,1.0,
0.0001,28,272,True,False,False,1.0,
0.0001,29,272,True,False,False,1.0,
0.0001,30,272,True,False,False,1.0,
0.0001,31,272,True,False,False,1.0,
0.0005,0,272,True,False,False,0.9999999999987921,
0.0005,1,272,True,False,False,0.9999999999987921,
0.0005,2,272,True,False,False,0.9999999999987921,
0.0005,3,272,True,False,False,0.9999999999987921,
0.0005,4,272,True,False,False,0.9999999999987921,
0.0005,5,272,True,False,False,0.9999999999987921,
0.0005,6,272,True,False,False,0.9999999999987921,
0.0005,7,272,True,False,False,0.9999999999987921,
0.0005,8,272,True,False,False,0.9999999999987921,
0.0005,9,272,True,False,False,0.9999999999987921,
0.0005,10,272,True,False,False,0.9999999999987921,
0.0005,11,272,True,False,False,0.9999999999987921,
0.0005,12,272,True,False,False,0.9999999999987921,
0.0005,13,272,True,False,False,0.9999999999987921,
0.0005,14,272,True,False,False,0.9999999999987921,
0.0005,15,272,True,False,False,0.9999999999987921,
0.0005,16,272,True,False,False,0.9999999999987921,
0.0005,17,272,True,False,False,0.9999999999987921,
0.0005,18,272,True,False,False,0.9999999999987921,
0.0005,19,272,True,False,False,0.9999999999987921,
0.0005,20,272,True,False,False,0.9999999999987921,
0.0005,21,272,True,False,False,0.9999999999987921,
0.0005,22,272,True,False,False,0.9999999999987921,
0.0005,23,272,True,False,False,0.9999999999987921,
0.0005,24,272,True,False,False,0.9999999999987921,
0.0005,25,272,True,False,False,0.9999999999987921,
0.0005,26,272,True,False,False,0.9999999999987921,
0.0005,27,272,True,False,False,0.9999999999987921,
0.0005,28,272,True,False,False,0.9999999999987921,
0.0005,29,272,True,False,False,0.9999999999987921,
0.0005,30,272,True,False,False,0.9999999999987921,
0.0005,31,272,True,False,False,0.9999999999987921,
0.001,0,272,True,False,False,0.9763539690007776,
0.001,1,272,True,False,False,0.9763539690007776,
0.001,2,272,True,False,False,0.9763539690007776,
0.001,3,272,True,False,False,0.9763539690007776,
0.001,4,272,True,False,False,0.9763539690007776,
0.001,5,272,True,False,False,0.9763539690007776,
0.001,6,272,True,False,False,0.9763539690007776,
0.001,7,272,True,False,False,0.9763539690007776,
0.001,8,272,True,False,False,0.9763539690007776,
0.001,9,272,True,False,False,0.9763539690007776,
0.001,10,272,True,False,False,0.9763539690007776,
0.001,11,272,True,False,False,0.9763539690007776,
0.001,12,272,True,False,False,0.9763539690007776,
0.001,13,272,True,False,False,0.9763539690007776,
0.001,14,272,True,False,False,0.9763539690007776,
0.001,15,272,True,False,False,0.9763539690007776,
0.001,16,272,True,False,False,0.9763539690007776,
0.001,17,272,True,False,False,0.9763539690007776,
0.001,18,272,True,False,False,0.9763539690007776,
0.001,19,272,True,False,False,0.9763539690007776,
0.001,20,272,True,False,False,0.9763539690007776,
0.001,21,272,True,False,False,0.9763539690007776,
0.001,22,272,True,False,False,0.9763539690007776,
0.001,23,272,True,False,False,0.9763539690007776,
0.001,24,272,True,False,False,0.9763539690007776,
0.001,25,272,True,False,False,0.9763539690007776,
0.001,26,272,True,False,False,0.9763539690007776,
0.001,27,272,True,False,False,0.9763539690007776,
0.001,28,272,True,False,False,0.9763539690007776,
0.001,29,272,True,False,False,0.9763539690007776,
0.001,30,272,True,False,False,0.9763539690007776,
0.001,31,272,True,False,False,0.9763539690007776,
0.0015,0,272,False,True,False,0.0869575910003447,Wave corruption: SHA-256 integrity check failed
